,account_id,count
6755,1157866,60
16465,3646205,60
14128,2978507,60
10827,2095361,59
4280,462898,59
9160,1750527,59
9150,1749005,59
22318,5589587,59
17050,3799693,59
15507,3390652,59
24503,6216495,59
11057,2134882,59
1294,96392,59
5350,779439,59
1352,101026,59
6029,988186,59
2870,270650,59
25514,6527762,58
4799,567618,58
9957,1941198,58
3739,388365,58
17577,3937470,58
8232,1564164,58
22292,5583298,58
3458,350441,58
25574,6542123,58
3598,372257,58
12864,2528996,58
5432,801063,58
18789,4257573,57
25965,6619375,57
22469,5631663,57
25724,6575996,57
3155,312650,57
7606,1427314,57
5419,797629,57
23758,6006642,57
976,74811,57
26484,6681603,57
25638,6555969,57
6213,1034537,57
9234,1761063,57
8728,1677711,57
15168,3304337,57
5869,946600,57
24492,6213276,56
12226,2374687,56
12143,2356959,56
9304,1776922,56
12883,2536623,56
5980,975077,56
11446,2211162,56
19392,4561833,56
1498,114126,56
22983,5787161,56
1413,106991,56
24505,6217187,55
6850,1206139,55
8671,1656214,55
7492,1392792,55
3803,395625,55
15551,3402380,55
10943,2115428,55
7117,1278146,55
14287,3037240,55
1272,95003,55
4840,577709,55
23843,6028903,55
4708,545380,55
15275,3328406,55
3979,419063,55
1797,139253,55
10726,2079464,54
23689,5986252,54
4843,578030,54
5880,951724,54
2357,195545,54
8215,1560948,54
25221,6425464,54
22036,5508919,54
23980,6072746,54
4397,486795,54
26743,6707838,54
14466,3091401,54
888,68103,53
1541,117983,53
7685,1452206,53
13167,2631289,53
2216,178157,53
130,10021,53
15232,3317626,53
7894,1504760,53
25844,6600478,53
2054,162333,53
776,61121,53
5771,911207,53
11985,2326386,53
1656,126025,53
9014,1721156,53
24108,6109681,53
25617,6551417,53
5323,772414,53
21524,5358527,52
21590,5376880,52
1966,153443,52
18414,4130392,52
23630,5974487,52
6006,980930,52
658,52495,52
21330,5298222,52
18011,4029382,52
5009,665877,52
13394,2706634,52
24036,6089673,52
22801,5726611,52
14044,2948221,52
10880,2103938,51
7453,1380886,51
16250,3584377,51
13264,2661870,51
13155,2629359,51
9072,1732506,51
17986,4024211,51
23827,6025563,51
12857,2526738,51
18293,4102360,51
1591,122168,51
23478,5941632,51
9263,1765866,51
10723,2078813,51
16651,3692439,51
15478,3383368,51
20682,5139867,51
24999,6361281,50
8297,1578803,50
8482,1613912,50
6685,1141180,50
22915,5765802,50
25655,6561695,50
20438,5093065,50
5477,819071,50
15027,3262110,50
7573,1419146,50
16087,3541851,50
24338,6170984,50
1278,95370,50
6246,1042584,50
12960,2567741,50
7959,1520435,50
6853,1206870,50
20308,5036996,50
10298,1996984,50
17090,3808920,50
21728,5420181,50
391,29492,50
20357,5063142,50
2902,275939,50
9226,1760159,50
3910,411494,50
23855,6030962,49
25770,6587914,49
22335,5595277,49
3616,373973,49
942,72109,49
8670,1655810,49
4486,509421,49
1235,92280,49
4812,570624,49
2899,275817,49
5463,811133,49
4385,484359,49
22856,5745693,49
18206,4076548,49
10437,2022575,49
5217,741881,49
22970,5781446,49
24328,6169267,49
14324,3046357,49
1614,123617,49
8740,1680243,49
3680,382611,49
25523,6530376,49
97,8391,49
931,70818,48
16849,3748641,48
20610,5125063,48
17476,3907092,48
23614,5972491,48
3263,325320,48
22445,5624606,48
26180,6647031,48
22460,5630176,48
16659,3693337,48
5645,869845,48
25952,6617827,48
21316,5295372,48
16010,3523348,48
15893,3494717,48
9486,1830076,48
2778,253793,48
5936,964986,48
746,58972,48
12416,2419025,47
18477,4145503,47
2857,267514,47
20653,5132880,47
5589,854102,47
12838,2521474,47
7792,1473260,47
26169,6645453,47
546,40781,47
2441,205304,47
25429,6496095,47
11269,2175571,47
3722,385875,47
15996,3520623,47
19430,4570067,47
3742,388601,47
26416,6677914,47
9284,1769583,47
3715,385353,47
4787,565252,47
15532,3398836,47
8431,1606538,47
939,71956,47
6002,980636,47
14991,3254258,47
22719,5698418,47
7121,1278523,47
18803,4263894,47
13901,2893085,47
10609,2058859,46
18375,4120481,46
24109,6109690,46
5864,943988,46
22372,5605464,46
13379,2702660,46
743,58664,46
21054,5222662,46
6808,1192324,46
4541,516859,46
10037,1960179,46
8683,1661320,46
9778,1905366,46
20702,5144595,46
1953,152365,46
16509,3659701,46
1917,149742,46
23584,5965623,46
12847,2524218,46
26677,6697839,46
18470,4144612,46
26583,6688706,46
1046,78664,46
4973,623091,46
21684,5406758,46
25850,6600728,45
424,31511,45
6480,1095044,45
15234,3319605,45
2079,164499,45
9915,1929486,45
9025,1723468,45
20911,5191285,45
8358,1590614,45
8564,1628744,45
540,40153,45
6384,1074427,45
15356,3350805,45
10831,2095875,45
21367,5308928,45
1055,79043,45
10537,2044005,45
14540,3112446,45
5152,728876,45
22866,5748722,45
18205,4076449,45
16307,3601187,45
26726,6704229,45
15030,3263706,45
25024,6370196,45
2397,199506,45
7135,1280949,45
22763,5713155,45
6929,1225768,45
17048,3799298,44
11401,2201732,44
25650,6560550,44
11886,2306294,44
14961,3239481,44
2202,175864,44
3641,378508,44
15607,3419661,44
18178,4069249,44
10441,2023463,44
6548,1110884,44
5665,881738,44
17844,3996891,44
17561,3932270,44
3918,412394,44
13361,2697433,44
1023,77569,44
15560,3405171,44
22231,5568396,44
90,8004,44
2714,243678,44
26337,6670818,44
16006,3523130,44
25745,6578982,44
4871,584016,44
1667,126687,44
18637,4196843,43
17266,3848803,43
2996,292749,43
14413,3075018,43
24728,6277572,43
9731,1898763,43
3846,403145,43
2933,282065,43
17273,3850405,43
23254,5879272,43
400,30088,43
6017,983397,43
22623,5669860,43
16792,3734210,43
7111,1276341,43
7281,1326093,43
758,59898,43
19335,4545202,43
13100,2610921,43
20893,5187241,43
26206,6649844,43
12298,2391004,43
24805,6300151,43
3917,412294,43
26705,6701150,43
